0,1,2,3,4,5,6,7,8,9,10
003,ΚΗΦΙΣΙΑΣ,10,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΜΑΓΟΥΛΑ,1,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΜΕΤΑΜΟΡΦΩΣΗ,1,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΝΕΡΑΤΖΙΩΤΙΣΣΑ,19,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΠΕΙΡΑΙΑΣ,2,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΠΕΝΤΕΛΗΣ,6,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΠΥΡΓΟΣ ΒΑΣΙΛΙΣΣΗΣ,1,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΤΑΥΡΟΣ,1,,,2025-05-24 07:58:11,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
004,TRAM,114,,,2025-05-24 07:57:04,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΤΡΑΜ,Boarding
001,UKN,1741,,,2025-05-24 07:54:47,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΟΣΥ,Boarding
002,ΑΓΙΑ ΒΑΡΒΑΡΑ,77,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΑ ΜΑΡΙΝΑ,174,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,59,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,156,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,246,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,97,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,140,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,125,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΕΡΟΔΡΟΜΙΟ,259,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΙΓΑΛΕΩ,323,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΚΡΟΠΟΛΗ,377,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΛΙΜΟΣ,76,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΜΠΕΛΟΚΗΠΟΙ,372,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΝΘΟΥΠΟΛΗ,115,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΝΩ ΠΑΤΗΣΙΑ,108,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΡΓΥΡΟΥΠΟΛΗ,115,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΤΤΙΚΗ,791,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΒΙΚΤΩΡΙΑ,320,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΔΑΦΝΗ,222,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ,385,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΔΟΥΚΙΣΣΗΣ ΠΛΑΚΕΝΤΙΑΣ,224,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΕΘΝΙΚΗ ΑΜΥΝΑ,117,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΕΙΡΗΝΗ,50,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
